MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
14:ae:db:38:99:3d,Oxana25,[WPA2-PSK-CCMP][ESS],10/12/2017 18:41,6,-90,31.89741447,34.81647161,103,9,WIFI
8c:59:c3:e9:8e:02,medina,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 18:41,2,-93,31.89741415,34.81647198,103,9,WIFI
06:ae:db:38:99:3d,BezeqFree,[WPA2-PSK-CCMP][ESS],10/12/2017 18:41,6,-90,31.89741399,34.81647175,103,9,WIFI
e0:ce:c3:8a:d4:45,Harazi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 18:42,1,-29,31.89741338,34.81647162,103,10,WIFI
00:e0:20:6b:23:04,HaikuAndi,[WPA-PSK-TKIP][ESS],10/12/2017 18:42,1,-79,31.89741338,34.81647162,103,10,WIFI
c8:be:19:0e:b5:42,benraf1,[WPA2-PSK-CCMP][ESS],10/12/2017 18:42,3,-93,31.89741332,34.81647157,103,11,WIFI
00:23:cd:1c:4c:b0,www.cornet.co.il,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/12/2017 18:42,5,-88,31.89741317,34.81647154,103,11,WIFI
c4:12:f5:fd:53:c2,Claude,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 18:42,11,-92,31.89741277,34.81647121,103,10,WIFI
cc:b2:55:e8:1c:80,Bezeq-NGN_CCB255E81C7F,[ESS],10/12/2017 18:42,6,-90,31.89741188,34.81647065,103,10,WIFI
74:da:3b:81:69:bb,vered2.4,[WPA2-PSK-CCMP][ESS],10/12/2017 18:42,10,-91,31.89741141,34.8164703,103,9,WIFI
74:da:38:81:69:ba,vered2.4_2EX,[WPA2-PSK-CCMP][ESS],10/12/2017 18:42,10,-93,31.89741125,34.81647017,103,9,WIFI
80:1f:02:5d:a2:50,Rotman2,[WPA2-PSK-CCMP-preauth][ESS][BLE],10/12/2017 18:43,10,-89,31.89740996,34.81646984,103,9,WIFI
8c:59:c3:e8:d1:1b,david,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 18:43,52,-85,31.89740993,34.81646988,103,9,WIFI
52:12:f5:fd:53:c3,BezeqFree,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 18:43,11,-90,31.89740965,34.81646977,103,9,WIFI
ac:f1:df:9e:cd:41,Bamberger_Net,[WPA2-PSK-CCMP][ESS],10/12/2017 18:45,1,-91,31.89740525,34.81646857,103,9,WIFI
08:97:58:33:5c:aa,NIPPON_7069,[WPA-PSK-CCMP][WPS][ESS],10/12/2017 18:46,3,-80,31.89740514,34.8164688,103,9,WIFI
7c:03:4c:ff:3e:48,HOTBOX-ED6A,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/12/2017 18:46,11,-91,31.897405,34.81646877,103,9,WIFI
14:ae:db:a2:e3:0d,ortal123,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/12/2017 18:47,11,-93,31.89740306,34.81646858,103,9,WIFI
44:2c:05:ce:c5:fc,midr-cardvr-v1_midevc5fc,[WPA2-PSK-CCMP][ESS],10/12/2017 18:47,9,-89,31.89740305,34.81646857,103,9,WIFI
14:ae:db:c8:11:7d,Haymon2,[WPA2-PSK-CCMP][ESS],10/12/2017 18:48,11,-94,31.89740153,34.81646837,103,9,WIFI
06:ae:db:c8:11:7d,BezeqFree,[WPA2-PSK-CCMP][ESS],10/12/2017 18:49,11,-93,31.89740032,34.81646813,103,9,WIFI
ac:f1:df:9e:cd:41,Bamberger_Net,[WPA2-PSK-CCMP][ESS],10/12/2017 18:49,1,-86,31.8973998,34.81646809,103,9,WIFI
5c:70:a3:8b:ea:5c,G4_3529,[WPA-PSK-CCMP+TKIP][ESS],10/12/2017 18:52,6,-84,31.89739158,34.81646565,103,9,WIFI
98:86:b1:05:18:dd,AndroidAP,[ESS],10/12/2017 18:56,6,-81,31.89738816,34.81646321,103,9,WIFI
9e:5c:f9:56:d7:8f,Xperia_XA_e6be,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 18:57,6,-90,31.89738757,34.81646223,103,9,WIFI
1e:cd:e5:5c:23:f6,MEIZU_M3s,[WPS][ESS],10/12/2017 18:59,10,-84,31.8973863,34.81646175,103,9,WIFI
ac:f1:df:9e:fa:61,Tuvia,[WPA2-PSK-CCMP][ESS],10/12/2017 19:01,13,-83,31.89738499,34.81646057,103,10,WIFI
c4:12:f5:fd:53:c2,Claude,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:01,11,-87,31.89738499,34.81646057,103,10,WIFI
e0:ce:c3:8a:d4:45,Harazi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:02,1,-46,31.89738423,34.81646034,103,9,WIFI
14:ae:db:3c:7c:d2,arye52,[WPA2-PSK-CCMP][ESS],10/12/2017 19:02,5,-87,31.89738423,34.81646034,103,9,WIFI
84:26:15:e9:95:a3,GAL,[WPA2-PSK-CCMP][WPS][ESS][BLE],10/12/2017 19:02,1,-80,31.89738423,34.81646034,103,9,WIFI
ac:f1:df:9e:fa:61,Tuvia,[WPA2-PSK-CCMP][ESS],10/12/2017 19:02,13,-86,31.89738423,34.81646034,103,9,WIFI
