Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1510041186000,1c:b9:c4:96:11:a7,-91,,35.20931446,32.10249994,37,[WPA2-PSK-CCMP][ESS][BLE],,-5220
1510043764000,1c:b9:c4:96:28:e7,-83,,35.20921092,32.10305457,6,[WPA2-PSK-CCMP][ESS][BLE],,-5260
1510043756171,1c:b9:c4:96:d2:87,-77,,35.2092373,32.10313244,9,[WPA2-PSK-CCMP][ESS][BLE],,-5220
1510041205000,1c:b9:c4:96:f4:27,-79,,35.20931597,32.10250158,27,[WPA2-PSK-CCMP][ESS][BLE],,-5220
1510043756171,1c:b9:c4:96:f4:77,-86,,35.2092373,32.10313244,9,[WPA2-PSK-CCMP][ESS][BLE],,-5180
1509956743000,20:0c:c8:1d:c3:5b,-89,Hila_2.4,35.20252068,32.10015737,14,[WPA2-PSK-CCMP][WPS][ESS][BLE],,112462
1509956797000,24:20:c7:37:a6:3a,-92,HOTFiber,35.20263046,32.10013487,8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],,62437
1510043756171,24:79:2a:2c:3d:68,-80,Ariel_University,35.2092373,32.10313244,9,[ESS][BLE],,112462
1510043756171,24:79:2a:2c:3d:6c,-83,Ariel_University,35.2092373,32.10313244,9,[ESS][BLE],,-5220
1510043764000,24:79:2a:ac:3d:67,-83,,35.20921092,32.10305457,6,[WPA2-PSK-CCMP][ESS][BLE],,-5220
1509956641242,24:a4:3c:a6:29:bd,-82,JaBeRtJ,35.20237355,32.10005367,12,[ESS],,72442
1509956636230,28:6c:07:34:26:10,-82,Betty_2.4G,35.20264869,32.10025834,7,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS][BLE],,102457
1509955201000,28:6c:07:34:26:11,-87,Betty_5G,35.20249245,32.10011455,14,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS][BLE],,-5745
1509956822000,30:e1:71:f0:ed:b0,-81,DIRECT-AF-HP DeskJet 4670 series,35.20263037,32.10013477,11,[WPA2-PSK-CCMP][WPS][ESS][P2P],,52432
1510043756171,34:0b:01:19:21:42,-89,afikim-wifi,35.2092373,32.10313244,9,[ESS],,72442
1510043756171,34:8f:27:20:8c:18,-72,Ariel_University,35.2092373,32.10313244,9,[ESS][BLE],,12412
1510043764000,34:8f:27:20:8c:1c,-80,Ariel_University,35.20921092,32.10305457,6,[ESS][BLE],,-5180
1509956822000,3c:1e:04:08:41:da,-84,Bezeqint-Gil_2.4,35.20263037,32.10013477,11,[WPA2-PSK-CCMP][ESS][BLE],,112462
1509956842000,3c:1e:04:08:41:db,-86,Bezeqint-Gil_5,35.20263071,32.10013567,10,[WPA2-PSK-CCMP][ESS][BLE],,-5320
1509956822000,3c:a8:2a:c5:18:2a,-88,DIRECT-29-HP DeskJet 3830 series,35.20263037,32.10013477,11,[WPA2-PSK-CCMP][WPS][ESS],,112462
