Time,Device ID,WCenter Lat,WCenter Lon,WCenter Alt,SSID,MAC,Ferquency,Signal
"",Device ID: LMY47V
Fri Dec 01 10:44:00 IST 2017,,34.811034593925235,32.170149191121496,35.39146212461059,devolo-0f4,30:d3:2d:37:20:f4,model=SM-G950F_device=dreamlte,-80
Fri Dec 01 10:44:00 IST 2017,,34.81100762,32.17005047,28.28929069,Neeman2.4_5,20:0c:c8:1d:c8:2c,model=Lenovo,-89
Fri Dec 01 10:44:00 IST 2017,,34.81091863896086,32.16988572365836,33.84665101691103,Neeman2.4,20:0c:c8:1d:c8:2b,PB2-690Y_device=PB2PRO,-81
Fri Dec 01 10:44:00 IST 2017,,34.81092359,32.16984101,28.20187075,HP-Print-20-Deskjet4640series,fc:15:b4:65:09:20,model=SM-G950F_device=dreamlte,-87
Fri Dec 01 10:44:00 IST 2017,,34.81083325,32.16968089,37.0,Alpha125,30:b5:c2:e0:55:9c,model=Lenovo,-82
Fri Dec 01 10:44:00 IST 2017,,34.81075792,32.16947978,37.0,BezeqFreeT00C36,5a:0c:c8:0f:21:90,PB2-690Y_device=PB2PRO,-92
Fri Dec 01 10:44:00 IST 2017,,34.81071393,32.16930329,27.82938003,edimax_2.4G_A92417,74:da:38:a9:24:17,model=SM-G950F_device=dreamlte,-75
Fri Dec 01 10:44:00 IST 2017,,34.81069492849091,32.16931426903848,33.97025437511504,BezeqNGN_001489_2.4GHz_1,c0:a0:bb:cb:59:5b,model=Lenovo,-73
Fri Dec 01 10:44:00 IST 2017,,34.81064193368,32.16916727728,35.538429025279996,forestisthebest,c8:d7:19:da:03:16,PB2-690Y_device=PB2PRO,-78
Fri Dec 01 10:44:00 IST 2017,,34.81057719797345,32.16896946683166,34.084804406157325,OberynMartell,18:d6:c7:fb:1c:0e,model=Lenovo,-79
Fri Dec 01 10:44:00 IST 2017,,34.81054405,32.16882317,27.11526685,RS_GUEST,ec:08:6b:38:0d:dd,PB2-690Y_device=PB2PRO,-85
